ms-ssim, psnr-y, psnr-u, psnr-v
0.996390, 41.460761, 45.229143, 44.231195
0.994842, 40.220883, 43.682626, 43.108874
0.994685, 40.232072, 42.346043, 42.767806
0.994381, 40.039119, 42.241500, 42.526164
0.995330, 40.859769, 43.298820, 43.527980
0.994114, 39.900574, 42.593200, 42.566988
0.994315, 40.161087, 42.606002, 42.941342
0.993839, 40.087313, 43.030645, 43.268043
0.995086, 40.798845, 43.271064, 43.632753
0.993870, 40.029755, 43.057130, 43.285890
0.993926, 40.050254, 43.196889, 43.605040
0.993802, 39.931909, 43.081849, 43.431325
0.994967, 40.638304, 43.197821, 43.584704
0.992698, 39.067675, 41.585546, 41.858248
0.990694, 38.077900, 40.613213, 41.155914
0.988169, 36.938614, 40.393917, 40.655519
0.987585, 36.727604, 40.284309, 40.508311
0.986063, 36.263344, 40.510335, 40.421788
0.985297, 36.057944, 40.071676, 39.891320
0.984756, 35.985738, 40.117037, 39.913196
0.986538, 36.473555, 40.156463, 39.927842
0.985609, 36.048554, 40.093616, 39.377621
0.986065, 36.420687, 40.412528, 39.584628
0.986787, 36.453657, 40.861378, 39.904538
0.988182, 36.986401, 40.562096, 39.969974
0.986832, 36.694543, 40.371269, 39.794536
0.987498, 36.700516, 40.166328, 38.785723
0.987152, 36.398986, 40.608315, 38.681841
0.989356, 37.366341, 41.605335, 39.922141
0.987580, 36.711698, 41.818397, 39.477162
0.988721, 37.007423, 42.170529, 39.696294
0.989106, 37.166571, 42.547396, 40.100864
0.990719, 37.777263, 42.425992, 40.368614
0.989450, 37.311903, 42.536008, 40.125044
0.989498, 37.302331, 42.013506, 39.936173
0.989339, 37.246398, 41.779799, 39.971851
0.990823, 37.826019, 41.833324, 40.343850
0.989678, 37.187270, 41.994229, 40.164958
0.989562, 37.228295, 41.920818, 39.892160
0.988275, 36.623291, 42.392799, 39.499282
0.990658, 37.481249, 42.323172, 39.991168
0.989890, 37.198442, 42.068483, 40.000099
0.989468, 37.044447, 41.448749, 39.872220
0.989669, 36.986200, 40.543600, 40.045151
0.991126, 37.534111, 40.684781, 40.153249
0.989556, 36.747305, 41.041599, 40.554616
0.989981, 37.013577, 40.773034, 40.500412
0.990293, 37.088196, 40.930015, 40.828562
0.990946, 37.435887, 40.717813, 40.355151
0.990204, 37.224409, 40.592314, 39.880748
0.990073, 37.274116, 40.723104, 39.614948
0.989524, 37.291065, 40.999874, 40.198006
