ms-ssim, psnr-y, psnr-u, psnr-v
0.996403, 44.437147, 51.389818, 53.163945
0.996416, 44.443003, 51.420788, 53.180374
0.996420, 44.444314, 51.429965, 53.179530
0.996419, 44.444753, 51.424207, 53.176999
0.996419, 44.444862, 51.420466, 53.172964
0.996423, 44.446659, 51.427185, 53.178083
0.996423, 44.446863, 51.429441, 53.177902
0.996422, 44.446563, 51.428514, 53.177782
0.996423, 44.446563, 51.414199, 53.162083
0.996430, 44.449487, 51.421391, 53.166649
0.996430, 44.449273, 51.426098, 53.166408
0.996432, 44.450038, 51.424287, 53.166589
0.996429, 44.448383, 51.425535, 53.176517
0.996430, 44.448546, 51.425937, 53.175975
0.996430, 44.448591, 51.425736, 53.176095
0.996430, 44.448706, 51.425736, 53.176095
0.996430, 44.448577, 51.425454, 53.176999
0.996435, 44.450024, 51.423643, 53.184777
0.996434, 44.449649, 51.424005, 53.184777
0.996435, 44.449768, 51.424005, 53.184777
0.996435, 44.449945, 51.428232, 53.169174
0.996874, 44.925593, 51.880887, 53.471414
0.996932, 44.944825, 51.863667, 53.507344
0.996939, 44.952883, 51.861976, 53.499290
0.996922, 44.931158, 51.830182, 53.512547
0.997968, 46.470253, 52.832233, 54.381237
0.998003, 46.497765, 52.821173, 54.402434
0.998007, 46.500723, 52.819675, 54.394852
0.998023, 46.505164, 52.808592, 54.377740
0.998469, 47.390182, 53.520038, 54.926329
0.998515, 47.419254, 53.515151, 54.924167
0.998501, 47.422876, 53.518930, 54.912382
0.998539, 47.434823, 53.494945, 54.900629
0.998607, 47.664166, 53.818213, 55.186218
0.998601, 47.663764, 53.805035, 55.171317
0.998640, 47.679735, 53.820029, 55.147637
0.998663, 47.683016, 53.784061, 55.114664
0.998647, 47.684172, 53.801417, 55.140436
0.998662, 47.687362, 53.801904, 55.146405
0.998646, 47.683568, 53.806637, 55.154376
0.998665, 47.688690, 53.791412, 55.131356
0.998661, 47.687694, 53.797106, 55.142898
0.998663, 47.689626, 53.798218, 55.141951
0.998660, 47.686890, 53.802391, 55.143277
0.998665, 47.689750, 53.805175, 55.152572
0.998662, 47.688549, 53.819610, 55.157037
0.998663, 47.689635, 53.814374, 55.155706
0.998657, 47.684908, 53.812700, 55.159413
0.998662, 47.686954, 53.811445, 55.153331
0.998662, 47.688873, 53.818423, 55.158558
0.998664, 47.690456, 53.815910, 55.161221
0.998661, 47.688541, 53.823384, 55.158272
0.998665, 47.690273, 53.813746, 55.153996
0.998665, 47.692607, 53.829681, 55.149250
0.998666, 47.692552, 53.834094, 55.151433
0.998666, 47.692884, 53.835005, 55.150294
0.998667, 47.692705, 53.841178, 55.157512
0.998664, 47.697121, 53.857002, 55.170554
0.998669, 47.699501, 53.858764, 55.170173
0.998669, 47.698699, 53.841740, 55.134097
0.999093, 46.486497, 53.427475, 55.147068
0.999056, 46.429597, 53.255725, 54.745132
0.999057, 46.428116, 53.207893, 54.710606
0.999053, 46.403485, 52.990621, 54.157138
0.999057, 46.405632, 53.005537, 54.183946
0.999058, 46.406823, 52.984911, 54.153742
0.999058, 46.405407, 52.984738, 54.160839
0.999058, 46.405046, 52.983528, 54.154647
0.999058, 46.403589, 52.991083, 54.144924
0.999058, 46.403181, 52.979669, 54.127568
0.999060, 46.405600, 52.984392, 54.146129
