ms-ssim, psnr-y, psnr-u, psnr-v
0.997520, 45.022154, 51.949823, 51.992954
0.996290, 43.361883, 51.094308, 51.003919
0.996673, 44.118242, 51.041374, 51.078895
0.996505, 43.533245, 50.974288, 51.035300
0.997318, 44.888314, 51.536627, 51.399850
0.996351, 43.343195, 50.693243, 50.982095
0.996579, 43.874488, 50.760169, 51.004650
0.996250, 43.195031, 50.600422, 50.990061
0.996996, 43.883316, 50.752819, 51.098898
0.996345, 43.226678, 50.502150, 51.003956
0.996401, 43.288706, 50.361529, 50.902687
0.996111, 42.889159, 50.275559, 50.779099
0.996370, 43.112707, 50.016339, 50.584010
0.995094, 42.433746, 49.861006, 50.319142
0.994247, 42.320705, 49.351734, 49.814066
0.992335, 41.403799, 48.754611, 48.907104
0.992500, 42.058504, 48.419101, 48.780080
0.991210, 41.259210, 48.049776, 48.161201
0.991379, 41.368550, 48.197666, 48.306639
0.991709, 41.662425, 48.384092, 48.539147
0.993112, 42.144844, 48.934893, 48.871705
0.993801, 42.137889, 49.053966, 49.160406
0.996338, 42.265473, 50.552621, 51.903924
0.994112, 40.613207, 50.512380, 51.699405
0.993279, 40.328171, 50.168838, 51.379810
0.992888, 40.126046, 50.039680, 51.313328
0.993264, 40.147362, 49.694443, 51.048786
0.991957, 39.815673, 49.522460, 51.018188
0.991523, 39.554305, 49.388694, 50.921068
0.991454, 39.508071, 49.301390, 50.862619
0.992623, 39.772251, 49.224163, 50.708607
0.991923, 39.744979, 49.285771, 50.881364
0.991620, 39.561478, 49.101035, 50.701514
0.991276, 39.223026, 49.055179, 50.678849
0.991211, 39.211898, 48.882068, 50.486688
0.989271, 38.520412, 48.177328, 49.941395
0.989393, 38.585878, 48.104363, 49.995353
0.990119, 38.852971, 48.198413, 50.037633
0.990849, 39.001683, 48.055200, 49.856320
0.990506, 38.958056, 47.970941, 50.062470
0.990247, 38.777258, 47.909639, 50.036405
0.990484, 38.863662, 48.015756, 50.047000
0.991636, 39.266704, 47.817263, 49.746959
0.991127, 38.999360, 48.072369, 50.009536
0.990952, 39.018359, 48.007302, 49.997902
0.990939, 38.948908, 48.106855, 50.047820
0.992377, 39.862178, 47.915914, 49.812067
0.991561, 39.372348, 48.119640, 50.013896
0.991257, 39.309644, 47.906273, 49.822879
0.992051, 39.568140, 48.359802, 50.175534
0.993176, 40.002352, 47.793809, 49.640285
0.992669, 39.704008, 48.117347, 49.906926
0.992277, 39.698145, 48.130917, 49.927175
0.992276, 39.837859, 48.268336, 50.073630
0.993421, 40.190029, 48.107062, 49.910503
0.992502, 40.035090, 48.360160, 50.080771
0.992100, 39.891179, 48.475484, 50.246560
0.992256, 39.958697, 48.467369, 50.104996
0.992590, 39.745224, 48.135103, 49.891179
0.992352, 39.804338, 48.226147, 50.016398
0.992400, 39.819277, 48.275112, 50.084730
0.992074, 39.804009, 48.268648, 50.127476
0.993293, 40.249493, 48.243291, 50.047351
0.992154, 39.715425, 48.291160, 50.153615
0.992104, 39.560497, 48.240603, 50.074368
0.992183, 39.528304, 48.290104, 50.210171
0.992381, 39.479687, 48.027778, 49.880985
0.992520, 39.596816, 48.334403, 50.253285
0.992366, 39.476982, 48.056905, 50.034155
0.992091, 39.285600, 48.224529, 50.097993
0.993067, 39.589079, 48.141504, 49.960541
0.992562, 39.416698, 48.099363, 50.006748
0.992318, 39.290286, 48.074527, 49.995324
0.992230, 39.165831, 48.137104, 50.002685
0.991143, 38.495760, 47.883047, 49.832798
0.992325, 38.811511, 48.365728, 50.461146
0.995347, 40.746334, 49.821043, 52.007611
0.999547, 49.178783, 55.510745, 56.243081
0.998557, 46.138638, 52.550325, 54.037476
0.996252, 42.913047, 50.398579, 51.248120
0.996088, 43.028285, 50.933737, 51.278053
0.992460, 40.251939, 49.190303, 49.420743
0.993373, 40.757672, 49.322916, 49.828031
