ms-ssim, psnr-y, psnr-u, psnr-v
0.998015, 48.009565, 52.667991, 50.297575
0.997250, 46.649012, 52.124033, 49.391919
0.997307, 46.526643, 51.894184, 49.310655
0.997000, 46.222959, 51.917021, 49.288107
0.997605, 46.889018, 52.367130, 50.099298
0.997128, 46.761940, 52.063613, 49.954197
0.997117, 46.684903, 51.792263, 49.634152
0.996928, 46.654164, 51.809598, 49.646908
0.997709, 47.355488, 52.498125, 50.466178
0.997413, 46.952432, 52.404891, 50.208042
0.997385, 46.831968, 52.460417, 50.107581
0.997157, 46.565793, 52.133403, 49.774668
0.997215, 46.570828, 52.047419, 49.635485
0.996449, 45.842013, 51.185818, 48.985660
0.996456, 45.453982, 50.947128, 48.660413
0.996052, 45.050651, 50.748305, 48.582916
0.996356, 45.430924, 50.388201, 48.505688
0.996169, 45.496714, 50.393085, 48.274839
0.996592, 46.139153, 50.690354, 48.746023
0.996444, 46.068080, 51.075180, 49.173112
0.997237, 46.982230, 51.729692, 50.054332
0.996588, 46.656083, 51.562886, 49.894884
0.996944, 46.999487, 51.627762, 49.751802
0.996986, 47.209245, 51.935088, 50.330482
0.997630, 47.928247, 52.287619, 50.666935
0.996942, 47.131042, 52.042406, 50.411913
0.997150, 47.197841, 51.840488, 50.306308
0.997151, 47.366741, 51.795856, 50.439602
0.997700, 47.773732, 52.454700, 50.876821
0.997170, 47.287943, 51.883168, 50.464436
0.997294, 47.361303, 51.988049, 50.398960
0.997184, 47.253334, 51.979444, 50.328418
0.997612, 47.417182, 52.286392, 50.709562
0.997095, 47.001503, 51.741710, 50.103512
0.997301, 47.080124, 51.888583, 50.186746
0.997204, 47.100354, 51.531386, 49.763152
0.997635, 47.247785, 52.047652, 50.231155
0.997401, 47.539647, 51.979490, 50.064706
0.997327, 47.727119, 51.739070, 50.117070
0.997802, 48.471506, 52.555491, 50.794840
0.997465, 48.027916, 52.008347, 50.350265
0.997405, 48.078841, 52.143554, 50.420335
0.997768, 48.751320, 52.615584, 51.053698
0.997735, 48.563375, 52.567360, 50.758856
0.997830, 48.641295, 52.561605, 50.821131
0.997721, 48.565292, 52.171327, 50.485067
0.997502, 48.150480, 51.919411, 49.976975
0.997849, 48.688414, 52.321722, 50.563003
0.997717, 48.373046, 52.191783, 50.247051
0.998021, 48.722496, 52.673835, 50.847090
0.997656, 48.169109, 52.175057, 50.448432
0.998061, 49.031172, 53.299006, 51.182239
0.997512, 48.113619, 52.260948, 50.222023
0.997848, 48.729446, 52.723643, 50.743934
0.997503, 48.575809, 52.528737, 50.704991
0.998111, 49.528587, 53.547442, 51.819238
0.997649, 48.367345, 52.278841, 50.526788
0.997778, 48.335697, 52.280997, 50.473316
0.997613, 48.009703, 52.159015, 50.375477
0.997928, 48.782056, 52.876025, 51.214901
0.997304, 47.846185, 52.127012, 50.369097
0.997863, 48.542700, 53.228694, 51.427306
0.997102, 47.484810, 52.354500, 50.588024
0.997338, 47.910078, 52.641921, 50.684513
0.997022, 47.501354, 52.330488, 50.481794
0.997646, 48.120674, 52.806655, 50.918489
0.997035, 47.263634, 52.334655, 50.438993
0.997064, 47.418210, 52.100460, 50.155748
0.997149, 47.314630, 51.895036, 50.083932
0.997562, 47.743118, 52.276441, 50.601287
0.997209, 47.489316, 51.889389, 50.241225
0.997225, 47.414752, 51.803973, 50.083075
0.997026, 47.182113, 51.434480, 49.799122
0.997471, 47.836327, 51.884957, 50.304100
0.997193, 47.349375, 51.613112, 50.076078
0.996907, 46.772395, 51.253068, 49.725599
0.997659, 48.011779, 51.918960, 50.434313
0.997459, 48.113543, 51.780934, 50.272903
0.997918, 49.027544, 52.501167, 51.075923
0.997432, 48.123745, 51.817564, 49.903920
0.997370, 47.696076, 51.578118, 49.912122
0.997891, 48.760512, 52.219868, 50.628808
0.997285, 47.881339, 51.635401, 49.840671
0.997429, 48.058735, 51.789286, 50.167542
0.997227, 47.895577, 51.693022, 50.120943
0.997587, 48.033092, 52.043380, 50.453706
0.997163, 47.458784, 51.679004, 50.284309
0.997351, 47.457734, 51.635782, 50.169652
0.997086, 47.215733, 51.721238, 50.281308
0.997730, 48.329694, 52.310851, 50.776846
0.997114, 47.470806, 51.648432, 50.242298
0.997411, 47.990484, 51.810873, 50.272224
0.997055, 47.731377, 51.729778, 50.182663
0.997653, 48.259638, 52.237058, 50.734792
0.997051, 47.554981, 51.962330, 50.555091
0.997048, 47.390066, 51.829784, 50.278154
0.997012, 47.455350, 52.150017, 50.660248
0.997534, 47.917690, 52.236040, 50.643776
0.996929, 47.192716, 51.879234, 50.363262
0.996981, 47.188966, 51.668775, 50.011367
0.997146, 47.472296, 51.737988, 49.908601
0.997385, 47.488955, 52.058255, 50.125089
0.996821, 47.067202, 51.624980, 49.683244
0.996928, 47.105784, 51.702193, 49.712854
0.996872, 47.112786, 51.518002, 49.647763
0.997428, 47.835090, 51.945783, 50.257005
0.996889, 47.255930, 51.625022, 50.054097
0.996893, 47.174200, 51.526687, 50.076550
0.996990, 47.126141, 51.884823, 50.404365
0.997579, 47.806635, 52.252905, 50.532126
0.997108, 47.289045, 51.863890, 50.138685
0.997058, 47.186979, 51.796382, 50.070153
0.997134, 47.227452, 52.215713, 50.266673
0.997861, 48.009460, 52.709988, 50.816126
0.997501, 47.304987, 52.547979, 50.684343
0.997488, 47.225623, 52.346581, 50.343201
0.997557, 47.318646, 52.606699, 50.581026
0.997601, 47.288187, 52.448786, 50.413953
0.997310, 47.154494, 52.487729, 50.360521
0.997482, 47.447737, 52.258411, 50.072127
0.997443, 47.419406, 52.308877, 50.120526
0.997814, 47.843992, 52.494880, 50.393656
0.997387, 47.219208, 51.778925, 49.807018
0.997574, 47.642534, 51.802348, 49.737398
0.997216, 47.322412, 51.473496, 49.529166
0.997867, 48.594640, 52.686409, 50.712943
0.997289, 47.732701, 52.155680, 49.985952
0.997542, 48.182618, 52.225090, 50.252977
0.997477, 47.996104, 52.510716, 50.524367
0.997872, 48.851743, 52.855612, 51.161698
0.997389, 47.970764, 52.119780, 50.395656
0.997506, 47.948235, 52.172618, 50.581954
0.997402, 47.762492, 51.728656, 50.164290
0.997611, 47.870376, 51.920628, 50.289821
0.997271, 47.626372, 51.517427, 49.814788
0.997444, 47.699262, 51.385669, 49.932481
0.997226, 47.427314, 51.311681, 49.722933
0.997638, 47.901912, 51.679601, 50.018697
0.997369, 47.451955, 51.438030, 49.631435
0.997465, 47.482687, 51.588261, 49.774503
0.997203, 47.205485, 51.242443, 49.630050
0.997914, 48.038745, 52.234488, 50.460631
0.997664, 47.678869, 52.307546, 50.658763
0.997581, 47.632813, 51.906981, 50.200962
0.997402, 47.270505, 51.881200, 50.298848
0.997711, 47.615933, 52.201878, 50.611120
0.997424, 47.326564, 52.065992, 50.453578
0.997416, 47.336549, 51.906756, 50.346433
0.997084, 47.335494, 51.977661, 50.463629
0.997565, 47.764055, 52.090738, 50.559804
0.997163, 47.427518, 51.837345, 50.447436
0.997204, 47.428681, 51.835310, 50.517047
0.997213, 47.463053, 51.615004, 50.206005
0.997688, 47.870642, 52.076967, 50.696577
0.997233, 47.200065, 51.709835, 50.054303
0.997386, 47.583511, 51.722617, 50.268584
0.997283, 47.683755, 52.108602, 50.613390
0.997810, 48.567547, 52.594038, 51.157269
0.997249, 47.673835, 51.937986, 50.562838
0.997282, 47.718089, 52.069865, 50.597095
0.997199, 47.582278, 52.053927, 50.414623
0.997611, 47.978050, 52.295136, 50.582683
0.996978, 47.220599, 51.670563, 50.093222
0.997087, 47.310524, 51.724946, 50.139553
0.997665, 48.021639, 52.004207, 50.255713
0.997797, 48.833793, 52.480282, 50.850826
0.997793, 48.913702, 52.699882, 50.980314
0.997854, 49.318088, 52.913851, 51.417452
0.997800, 49.024215, 52.936022, 51.046314
0.998216, 49.445140, 53.337655, 51.559066
0.997322, 48.169842, 52.090363, 50.282019
0.997592, 48.635686, 52.210261, 50.768534
0.997487, 48.450375, 52.260021, 50.499124
0.997904, 49.015817, 52.744261, 51.100541
0.997447, 48.430441, 52.008532, 50.396768
0.997234, 48.121779, 51.971312, 50.310104
0.997114, 47.881739, 51.952821, 50.385412
0.997709, 48.756651, 52.749772, 51.229920
0.997305, 48.248183, 52.144171, 50.748099
0.997566, 48.451683, 52.164594, 50.721115
0.997429, 48.101848, 51.984935, 50.692835
0.997644, 48.361044, 52.413523, 51.026515
0.997681, 48.641078, 52.489323, 51.027690
0.997687, 48.633596, 52.658838, 51.209651
0.997874, 48.961223, 52.639791, 51.419662
0.997567, 48.208706, 52.073134, 50.654346
0.997514, 48.274917, 52.089800, 50.519202
0.997257, 47.928710, 51.857127, 50.409141
0.997673, 48.653827, 52.472899, 51.132630
0.997112, 47.936098, 52.000483, 50.455573
0.997051, 47.757607, 52.121056, 50.660214
0.997237, 47.811948, 52.174866, 50.668389
0.997636, 48.235951, 52.485520, 50.908222
0.997187, 47.649745, 52.028649, 50.288210
0.997214, 47.575837, 51.960463, 50.232531
0.997136, 47.888477, 52.119544, 50.424105
0.997727, 48.606754, 52.839306, 51.122820
0.997056, 47.819065, 51.820957, 50.497141
0.997179, 47.851767, 52.083285, 50.667544
0.997214, 47.664204, 52.250860, 50.613523
0.997558, 48.138713, 52.528996, 51.026515
0.997227, 47.671181, 52.220158, 50.797835
0.997467, 47.976909, 52.319447, 50.839557
0.997538, 48.176961, 52.453425, 51.175888
0.997567, 48.314585, 52.604375, 51.118918
0.997198, 47.802260, 52.175966, 50.719062
0.997179, 48.038237, 52.242642, 50.742145
0.997003, 47.906882, 52.210454, 50.601054
0.997749, 48.749114, 52.921910, 51.455058
0.997207, 47.943002, 52.435967, 50.809659
0.997309, 48.049540, 52.172044, 50.566965
0.997288, 47.921128, 52.202552, 50.617097
0.997579, 48.199461, 52.428963, 50.694128
0.997341, 47.988217, 52.040040, 50.330326
0.997163, 47.659014, 51.882676, 50.058590
0.997303, 47.847831, 52.153157, 50.273150
0.997805, 48.419085, 52.534241, 50.692053
0.997393, 47.754261, 51.979078, 50.050019
0.997522, 47.750546, 52.028602, 50.223274
0.997329, 47.541786, 51.909140, 50.087628
0.997578, 47.694256, 52.239000, 50.139822
0.997323, 47.533359, 51.874545, 49.959163
0.997378, 47.735841, 52.011525, 50.040060
0.997822, 48.095337, 52.481514, 50.457892
0.997406, 47.647097, 52.083800, 49.876418
0.997386, 47.891834, 52.061562, 49.748819
0.997996, 48.627278, 52.692601, 50.822392
0.997560, 48.009849, 52.244731, 50.135932
0.997583, 48.221742, 52.553664, 50.224251
0.998101, 48.845449, 53.303407, 51.092556
0.997859, 48.365698, 52.930212, 50.820046
0.997949, 48.445797, 53.091396, 50.754578
0.998318, 48.885594, 53.753683, 51.357206
0.998333, 48.920564, 53.871399, 51.336375
0.997814, 48.381959, 53.512287, 51.064389
0.997892, 48.528707, 53.426390, 51.049709
0.997877, 48.518514, 53.712803, 51.156966
0.998332, 49.025604, 53.996394, 51.424287
0.998004, 48.609984, 53.615284, 51.117943
0.998011, 48.624642, 53.537154, 51.241788
0.998248, 48.830039, 53.947417, 51.642166
0.998169, 48.624706, 53.903113, 51.505070
0.998261, 48.590327, 54.116559, 51.622663
0.998213, 48.381959, 54.114316, 51.688872
0.998263, 48.645941, 54.167569, 51.697048
0.998300, 48.866656, 54.492595, 52.006737
0.998035, 48.986606, 54.562067, 52.082349
0.998289, 48.975293, 54.876773, 52.146404
0.997886, 48.756852, 54.277783, 51.930700
0.998051, 48.487044, 54.433782, 51.796031
