ms-ssim, psnr-y, psnr-u, psnr-v
0.998160, 44.103886, 50.712089, 49.657530
0.997953, 43.740370, 51.203948, 50.044803
0.997862, 43.532084, 51.024643, 49.586531
0.997792, 43.493892, 51.168863, 49.704505
0.998037, 43.777689, 50.974143, 49.683056
0.998078, 43.956507, 51.409304, 50.166608
0.997835, 43.707559, 51.472356, 50.295093
0.998160, 44.322093, 51.659887, 50.248739
0.998162, 44.284986, 51.742792, 50.461985
0.998003, 44.176806, 51.747428, 50.640584
0.998034, 44.155813, 51.562056, 50.635782
0.997958, 44.142657, 52.036564, 51.069021
0.998317, 44.820918, 52.018255, 51.157950
0.997982, 44.206647, 52.079774, 51.215591
0.998026, 44.054558, 51.923968, 50.787953
0.997832, 43.939961, 51.757279, 50.721457
0.998159, 44.342040, 51.181440, 50.417111
0.998195, 44.544929, 51.846205, 50.676037
0.998398, 45.103323, 52.264120, 51.174482
0.998990, 46.869723, 52.533306, 51.294971
0.998980, 46.828660, 52.706959, 51.587718
0.998859, 46.404422, 52.653815, 51.220734
0.998876, 46.341852, 52.481565, 51.280543
0.998781, 45.993456, 52.461746, 51.492829
0.999090, 47.128445, 52.942295, 51.846249
0.999131, 47.202691, 52.563801, 51.502816
0.998954, 46.486552, 52.497404, 51.539064
0.998885, 46.123761, 52.478743, 51.412433
0.999038, 46.321480, 52.525002, 51.567667
0.998886, 45.987158, 52.353403, 51.458829
0.998906, 45.980044, 52.253684, 51.323263
0.998797, 45.778660, 52.308285, 51.240977
0.999096, 46.965482, 52.609553, 51.691567
0.999014, 46.657218, 52.629529, 51.664563
0.998961, 46.600705, 52.532579, 51.519483
0.999089, 46.824430, 52.639206, 51.863534
0.999153, 47.394340, 52.736470, 51.781939
0.999134, 47.377326, 53.010288, 52.086799
0.999080, 47.321606, 53.077007, 52.127107
0.999159, 47.475407, 53.547967, 52.569140
0.999079, 47.375140, 53.476510, 52.394665
0.999081, 47.387337, 53.444805, 52.264559
0.999287, 48.016380, 53.732202, 52.672494
0.999210, 47.649813, 53.588312, 52.598254
0.999154, 47.411416, 53.436995, 52.447207
0.999252, 47.417226, 53.631241, 52.606699
0.999200, 47.401704, 53.488338, 52.356394
0.999138, 46.757603, 53.101982, 51.849088
0.999300, 47.345790, 52.975871, 51.597003
0.999297, 47.342393, 53.464071, 52.204959
0.999193, 46.865544, 53.343160, 51.946736
0.999183, 46.892163, 53.412948, 52.051323
0.999181, 46.929154, 53.206195, 51.828503
0.999292, 47.415271, 53.758502, 52.502817
0.999199, 47.186478, 53.622688, 52.374836
0.999306, 47.559441, 53.966233, 52.891003
0.999181, 47.069423, 53.465487, 52.311986
0.999202, 47.173107, 53.676627, 52.459498
0.999189, 47.236586, 53.671628, 52.412917
0.999349, 47.770729, 54.240143, 52.713831
0.999240, 47.441995, 53.870551, 52.513870
0.999238, 47.303460, 53.942168, 52.620086
0.999241, 47.394149, 54.122547, 52.506326
0.999401, 48.022315, 54.404912, 53.006174
0.999264, 47.427851, 54.031384, 52.475154
0.999289, 47.474086, 54.097677, 52.704527
0.999304, 47.553999, 53.941450, 52.471004
0.999343, 47.749303, 54.413633, 53.181640
0.999317, 47.891432, 54.228462, 52.900037
0.999314, 47.766117, 54.375596, 53.064309
0.999342, 47.988760, 54.009875, 52.760816
0.999373, 47.927109, 54.532827, 53.306758
0.999348, 48.114722, 54.192235, 53.044513
0.999326, 47.869160, 54.313951, 53.236993
0.999359, 48.007792, 53.964500, 52.817401
0.999356, 47.818389, 54.449340, 53.256461
0.999302, 47.700718, 54.239681, 52.919468
0.999331, 47.906497, 53.712939, 52.537464
0.999335, 47.950540, 53.544687, 52.363482
0.999359, 47.856684, 54.275920, 53.044338
0.999317, 47.762717, 53.904894, 52.713235
0.999318, 47.884931, 54.200615, 52.978000
0.999306, 47.814756, 53.818213, 52.676734
0.999368, 47.909680, 54.281588, 53.237421
0.999288, 47.800770, 54.017910, 52.763718
0.999299, 47.825166, 54.048286, 52.950408
0.999245, 47.498501, 53.879890, 52.832011
