ms-ssim, psnr-y, psnr-u, psnr-v
0.997662, 41.717796, 50.555376, 51.319177
0.997458, 41.372449, 50.585215, 51.343492
0.996730, 40.680139, 50.486309, 51.289064
0.996715, 40.497955, 50.021240, 50.984082
0.997010, 40.870198, 49.912917, 50.934384
0.996744, 40.517091, 49.931786, 50.904721
0.996059, 39.928456, 50.014914, 50.995538
0.996174, 39.990738, 49.956627, 50.916018
0.996691, 40.534122, 49.977417, 50.969949
0.996389, 40.435550, 50.019454, 51.040638
0.996361, 40.376747, 49.983150, 50.958897
0.996252, 40.137623, 49.929656, 50.935199
0.996595, 40.441393, 49.967738, 50.986943
0.995594, 39.525159, 49.993133, 50.987380
0.995513, 39.538485, 49.858181, 50.870393
0.995439, 39.524792, 49.882527, 50.909294
0.995014, 39.110246, 49.682661, 50.499645
0.995128, 39.225390, 49.696659, 50.542438
0.995316, 39.200354, 48.848191, 50.091880
0.995504, 39.476080, 48.783102, 50.033765
0.995854, 39.712138, 48.749992, 49.975764
0.995816, 39.573509, 48.871377, 50.045349
0.995840, 39.541386, 49.287361, 50.345774
0.995651, 39.396659, 49.311406, 50.313665
0.996615, 40.626683, 49.533078, 50.559287
0.996240, 40.146088, 49.685464, 50.677471
0.996197, 40.145101, 49.850294, 50.808728
0.996965, 40.875386, 49.959536, 50.979382
0.996506, 40.341492, 50.042460, 51.018298
0.996522, 40.750945, 50.147863, 51.086210
0.996387, 40.462908, 50.236172, 51.196853
0.997124, 41.596283, 50.325439, 51.153789
0.996419, 40.436387, 50.514283, 51.342123
0.996961, 41.268390, 50.505546, 51.352559
0.996657, 40.707602, 50.500339, 51.282308
0.997138, 41.393657, 50.471291, 51.260760
0.996452, 40.773119, 50.056299, 50.924569
0.996570, 40.591764, 50.039534, 50.828235
0.996607, 40.483750, 50.241930, 50.930982
0.997121, 41.312269, 50.170958, 50.892457
0.995997, 39.822692, 49.910645, 50.766839
0.996524, 40.506006, 49.908298, 50.751693
0.995777, 39.475712, 49.638266, 50.380990
0.996636, 40.554387, 49.583141, 50.368981
0.995492, 39.154669, 49.720585, 50.582871
0.995939, 39.692005, 49.601721, 50.429147
0.995267, 39.031980, 49.576439, 50.463070
0.996307, 40.405169, 49.712945, 50.389395
0.995163, 39.163828, 49.611429, 50.296127
0.994462, 38.596485, 49.398526, 50.250438
0.994150, 37.995414, 49.406105, 50.261877
0.995747, 39.543156, 49.414101, 50.263068
0.994841, 38.661803, 49.290347, 50.213256
0.994232, 38.481897, 49.061153, 49.754532
0.994283, 38.332447, 48.699707, 49.367375
0.995694, 39.261130, 48.969586, 49.527770
0.994250, 38.142905, 49.063613, 49.605284
0.994856, 38.534989, 49.066855, 49.624561
0.993819, 37.854254, 48.904918, 49.259862
0.994660, 38.289728, 48.890225, 49.277335
0.992978, 37.239563, 48.901826, 49.481149
0.994078, 37.947738, 48.884003, 49.456524
0.992607, 37.200793, 49.004819, 49.632651
0.994620, 38.601810, 48.651018, 49.451718
0.993612, 37.854005, 48.686634, 49.495544
0.992243, 36.822190, 48.643601, 49.572760
0.993721, 37.793167, 48.652264, 49.600874
0.994006, 37.963161, 48.733589, 49.643782
0.992873, 36.982719, 48.848309, 49.876212
0.995081, 38.750897, 48.987825, 50.040431
0.993834, 37.778733, 48.932489, 49.922095
0.993278, 37.570834, 48.943991, 49.884522
0.993750, 37.819525, 48.700882, 49.651872
0.995257, 38.742297, 48.682494, 49.706799
0.994176, 37.936304, 48.909456, 49.899225
0.994527, 38.206183, 48.865301, 49.925627
0.993489, 37.636903, 48.918908, 49.880346
0.994805, 38.487277, 48.935755, 49.815372
0.993204, 37.504215, 49.140367, 49.985153
0.994379, 38.211685, 49.168521, 50.055320
0.993521, 37.789206, 49.223024, 50.053989
0.995183, 39.357761, 49.243108, 50.082100
0.994957, 39.162491, 49.303135, 50.083913
0.994088, 38.435746, 49.249607, 50.016116
0.993470, 38.024833, 49.111764, 49.870693
0.993270, 37.762553, 49.040403, 49.826350
0.994769, 38.956730, 49.145126, 49.919476
0.993566, 38.107648, 49.231888, 50.043319
0.994151, 38.510895, 49.163641, 50.001438
0.993206, 37.994723, 49.113150, 50.019493
0.995058, 39.082887, 49.099747, 49.956703
0.994199, 38.559524, 49.117974, 49.887421
0.994313, 38.589723, 49.097674, 49.931558
0.993503, 38.044147, 48.655213, 49.488392
0.994471, 38.602162, 48.761950, 49.561041
0.993641, 38.174705, 48.738038, 49.525344
0.993017, 37.803028, 48.813024, 49.529920
0.994877, 39.212420, 48.952607, 49.569853
0.994784, 39.056199, 48.941264, 49.585178
0.994400, 38.744436, 48.841259, 49.610864
0.992501, 37.369135, 48.614764, 49.402398
0.993304, 37.728034, 48.625566, 49.435295
0.996394, 41.159930, 49.733034, 50.483543
0.994666, 39.460709, 49.606519, 50.392059
0.992466, 37.971806, 49.434582, 50.095237
0.992335, 37.727569, 49.074125, 49.723450
0.994068, 38.958228, 49.087105, 49.776467
0.992488, 38.230678, 48.808351, 49.717252
0.993414, 38.646445, 48.356108, 49.166990
0.993287, 38.300428, 48.791756, 49.504501
0.994810, 39.563323, 48.950482, 49.532731
0.993910, 38.834894, 48.984092, 49.567893
0.993080, 37.992481, 49.442224, 49.886931
0.994855, 39.350415, 49.500847, 49.872307
0.994034, 38.792385, 49.446815, 49.817298
0.992770, 38.006522, 49.405127, 49.769827
0.992828, 37.949672, 49.288706, 49.888023
0.993916, 38.781769, 49.324785, 49.851490
0.992161, 37.692439, 49.382504, 49.827241
0.993318, 38.408714, 49.442972, 49.838213
0.992501, 37.586293, 49.339998, 49.815557
0.994315, 38.746786, 49.346277, 49.871406
