ms-ssim, psnr-y, psnr-u, psnr-v
0.998176, 41.352633, 45.991224, 47.602288
0.997966, 40.810109, 45.795555, 47.198320
0.998021, 40.848126, 45.631435, 47.125602
0.997900, 40.621859, 45.510198, 47.085396
0.997929, 40.655886, 45.648079, 47.146890
0.997738, 40.283239, 45.690041, 47.177717
0.997922, 40.619429, 45.700822, 47.086004
0.997811, 40.365691, 45.802551, 47.157574
0.997900, 40.503445, 45.656495, 46.959962
0.997826, 40.353237, 45.791505, 46.991588
0.997741, 40.242283, 45.829564, 47.046146
0.997789, 40.299621, 45.887303, 47.109958
0.997892, 40.474808, 45.686228, 46.948059
0.997678, 40.070602, 45.653713, 46.929193
0.997490, 39.720093, 45.404281, 46.642009
0.997407, 39.560564, 45.347416, 46.524058
0.997185, 39.337758, 45.317422, 46.345605
0.997161, 39.330290, 45.352921, 46.511226
0.997184, 39.309456, 45.354642, 46.549640
0.997270, 39.539197, 45.075723, 46.298637
0.997349, 39.673228, 45.181436, 46.363600
0.997298, 39.616933, 45.089559, 46.279223
0.997350, 39.825305, 45.197514, 46.247513
0.997469, 39.926112, 45.250727, 46.505997
0.997640, 40.159678, 45.708725, 46.853318
0.997751, 40.277310, 45.918824, 47.086374
0.997837, 40.462220, 45.822258, 46.990674
0.997897, 40.626293, 45.741396, 47.011455
0.997967, 40.749947, 46.070525, 47.270559
0.997998, 40.810633, 46.283803, 47.450911
0.998069, 41.005099, 46.167043, 47.442908
0.998219, 41.175181, 46.081624, 47.579301
0.998288, 41.409236, 46.305515, 47.642715
0.998294, 41.454050, 46.362584, 47.717442
0.998244, 41.384018, 46.485623, 47.755190
0.998291, 41.412641, 46.241141, 47.722432
0.998479, 41.818919, 46.741968, 48.005379
0.998551, 41.959672, 46.962222, 48.098952
0.998463, 41.788044, 46.961718, 48.103333
0.998455, 41.841596, 47.027698, 48.119114
0.998472, 41.916415, 46.704943, 48.002010
0.998401, 41.805612, 46.689523, 47.965875
0.998442, 41.838834, 46.947169, 48.095192
0.998445, 41.833721, 46.894811, 48.056201
0.998564, 42.070348, 46.914453, 48.220024
0.998516, 41.990500, 47.180503, 48.334680
