ms-ssim, psnr-y, psnr-u, psnr-v
0.996826, 46.004447, 48.521485, 49.955785
0.995964, 44.935761, 47.379095, 49.178779
0.995923, 44.971458, 47.186161, 49.097956
0.995515, 44.699890, 46.841582, 49.061807
0.996118, 45.237649, 47.659836, 49.351833
0.995562, 44.630809, 46.429375, 48.977367
0.995373, 44.423185, 46.573807, 48.801482
0.995496, 44.569048, 46.616282, 48.759626
0.996145, 45.045252, 47.367358, 49.236911
0.995513, 44.401870, 46.642803, 48.887831
0.995779, 44.605590, 46.737279, 48.859917
0.995549, 44.389257, 46.587825, 48.706044
0.996119, 44.867501, 47.310808, 49.120246
0.995138, 44.034336, 46.057833, 48.343420
0.995037, 43.986025, 46.143835, 48.265963
0.994331, 43.532232, 45.569709, 47.774677
0.994596, 43.772435, 45.918035, 47.889997
0.994452, 43.519534, 45.634108, 47.793030
0.994276, 43.472239, 45.605869, 47.686232
0.994067, 43.367272, 45.473429, 47.821491
0.994767, 43.952393, 46.508293, 48.229585
0.994968, 44.142353, 46.415469, 48.306940
0.995171, 44.181167, 46.597684, 48.549929
0.995458, 44.375948, 46.771732, 48.574995
0.995833, 44.732630, 47.081935, 48.853026
0.995811, 44.862469, 46.869839, 48.840164
0.995721, 44.988253, 46.936370, 48.878805
0.995737, 45.102005, 46.747649, 48.825717
0.996193, 45.579643, 47.339682, 49.168713
0.995785, 45.279119, 46.825605, 48.869410
0.996134, 45.667908, 47.184463, 49.087543
0.996260, 45.810259, 47.170741, 49.031024
0.996674, 46.194232, 47.866947, 49.566739
0.996398, 45.920082, 47.230915, 49.164151
0.996178, 45.617668, 47.117435, 48.944082
0.995956, 45.593167, 46.954773, 48.745299
0.996544, 46.131724, 47.654472, 49.356530
0.996017, 45.662812, 47.156439, 49.127638
0.996227, 45.846400, 47.368728, 49.307713
0.996358, 45.959134, 47.318348, 49.311966
0.996905, 46.362374, 47.950790, 49.649590
0.996654, 46.251343, 47.612002, 49.441170
0.996874, 46.543550, 47.835815, 49.594216
0.996888, 46.469036, 47.748131, 49.579947
0.997152, 46.656702, 48.087490, 49.737034
0.996952, 46.511658, 47.713885, 49.571114
0.996831, 46.428840, 47.750225, 49.546497
0.996735, 46.230556, 47.537879, 49.413764
0.997041, 46.488678, 48.086346, 49.623179
0.996813, 46.328374, 47.556489, 49.306164
0.996442, 46.009047, 47.453867, 49.217791
0.996479, 46.113901, 47.399860, 49.192043
0.996866, 46.467387, 48.040911, 49.594885
0.996544, 46.048576, 47.461357, 49.330247
0.996801, 46.297063, 47.788568, 49.572514
0.996833, 46.386187, 47.695771, 49.431835
0.997158, 46.684980, 48.318209, 49.760124
0.996793, 46.356370, 47.685665, 49.567019
0.996760, 46.348476, 47.856104, 49.641468
0.996654, 46.228038, 47.748246, 49.513165
0.997120, 46.695930, 48.223059, 49.820375
0.996812, 46.460110, 47.705491, 49.462599
0.996861, 46.472728, 47.933440, 49.510332
0.996861, 46.498915, 47.771043, 49.444740
0.997006, 46.503448, 48.096283, 49.598830
0.996521, 46.097009, 47.397312, 49.364102
0.996800, 46.362650, 47.652964, 49.516275
0.996739, 46.251482, 47.563188, 49.377377
0.997057, 46.572099, 48.097106, 49.672863
0.996643, 46.383005, 47.634810, 49.332799
0.996628, 46.294333, 47.728110, 49.351134
0.996420, 45.947306, 47.498787, 49.202935
0.997104, 46.584664, 48.547300, 49.880684
0.996456, 45.777975, 47.449095, 49.318173
0.996745, 46.104958, 47.773797, 49.491554
0.996920, 46.244818, 47.735423, 49.597420
0.997365, 46.684625, 48.524483, 49.974496
0.996966, 46.144861, 47.737466, 49.676593
0.996931, 46.235951, 47.716922, 49.573460
0.996749, 46.008107, 47.492490, 49.417413
0.997231, 46.691584, 48.285817, 49.754715
0.996862, 46.379330, 47.563409, 49.263514
0.996952, 46.567020, 47.845854, 49.484272
0.996981, 46.664831, 47.734597, 49.430818
0.997159, 46.763451, 48.165499, 49.726787
0.996654, 46.324003, 47.361817, 49.282575
0.996851, 46.623821, 47.680971, 49.513856
0.996991, 46.744620, 47.718591, 49.613479
0.997274, 47.017247, 48.256432, 49.887383
0.997059, 46.601818, 47.676555, 49.569293
0.996918, 46.343161, 47.737443, 49.561879
0.996733, 46.181098, 47.451502, 49.373093
0.997060, 46.667715, 48.007778, 49.661765
0.996745, 46.190907, 47.392178, 49.338603
0.996600, 46.023991, 47.344943, 49.252112
0.996374, 45.851364, 47.287586, 49.428953
0.996918, 46.330715, 48.021677, 49.684134
0.996783, 46.263323, 47.691021, 49.604296
0.996705, 46.224585, 47.787082, 49.617512
0.996653, 46.222844, 47.638287, 49.515999
0.996910, 46.299247, 47.954650, 49.660907
0.996501, 46.010443, 47.518190, 49.476076
0.996690, 46.250235, 47.681901, 49.492689
0.996851, 46.351191, 47.664913, 49.590099
0.997066, 46.387389, 47.981546, 49.651658
0.996763, 46.181543, 47.551032, 49.387402
0.996674, 46.192217, 47.565549, 49.452263
0.996519, 46.019166, 47.355779, 49.417075
0.996962, 46.522270, 48.012716, 49.700193
0.996631, 46.212215, 47.656342, 49.458673
0.996499, 45.975585, 47.605784, 49.477515
0.996549, 45.994681, 47.609727, 49.463248
0.996941, 46.320916, 48.037761, 49.633077
0.996655, 46.081686, 47.646035, 49.429529
0.996916, 46.390082, 47.811905, 49.589888
0.996770, 46.151110, 47.652851, 49.581772
0.997093, 46.214280, 48.144422, 49.799436
0.996729, 46.079507, 47.574472, 49.475973
0.996687, 46.011438, 47.764732, 49.565550
0.996465, 45.809596, 47.435262, 49.368344
0.997067, 46.653289, 48.453250, 50.077298
0.996424, 45.950085, 47.718545, 49.610192
0.996627, 46.175799, 47.802481, 49.658155
0.996475, 46.001075, 47.669475, 49.652657
0.996735, 46.205821, 48.121514, 50.021939
0.996231, 45.726250, 47.171486, 49.461233
0.996731, 46.213512, 47.720122, 49.803387
0.996763, 46.243561, 47.693907, 49.874822
0.997254, 46.625660, 48.369470, 50.176067
0.996797, 46.173428, 47.746060, 49.794125
0.997074, 46.554660, 47.938847, 49.918376
0.997066, 46.563090, 47.963952, 49.900585
0.997338, 46.777337, 48.409536, 50.138036
0.997036, 46.372149, 47.843642, 49.785618
0.996953, 46.312087, 47.871348, 49.806786
0.996836, 46.118963, 47.632883, 49.699219
0.997234, 46.577355, 48.125027, 49.944360
0.997018, 46.316288, 47.750755, 49.690644
0.996945, 46.234704, 47.726529, 49.696010
0.996702, 46.000652, 47.547866, 49.607967
0.996773, 46.225404, 47.868744, 49.505708
0.996155, 45.550784, 47.568264, 49.466699
0.996366, 45.813877, 47.573588, 49.510539
0.996736, 46.125460, 47.798242, 49.634321
0.997055, 46.493722, 48.366338, 49.894695
0.996936, 46.387255, 47.950284, 49.734670
0.996910, 46.433760, 47.920491, 49.743879
0.996865, 46.323547, 47.828612, 49.730418
0.997114, 46.589693, 48.184924, 49.860463
0.996914, 46.314592, 47.698728, 49.691724
0.996927, 46.218610, 47.798405, 49.713451
0.996917, 46.248760, 47.530605, 49.628782
0.997062, 46.478857, 47.899351, 49.712692
0.996664, 46.022599, 47.351240, 49.355164
0.996624, 46.182080, 47.485855, 49.523543
0.996329, 45.779539, 47.343685, 49.445897
0.997191, 46.414021, 48.175772, 49.936126
0.996831, 46.054003, 47.478669, 49.550991
0.996865, 46.026889, 47.635034, 49.603308
0.996872, 45.948708, 47.553056, 49.519942
0.997108, 46.137434, 47.912142, 49.670391
0.996773, 45.837346, 47.244542, 49.474090
0.997072, 46.360748, 47.748062, 49.687513
0.996954, 46.232784, 47.539545, 49.576194
0.997335, 46.567441, 48.259849, 50.087382
0.996971, 46.044809, 47.584744, 49.631089
0.996963, 46.092401, 47.683782, 49.669209
0.996782, 45.812753, 47.469227, 49.544722
0.997335, 46.647864, 48.306024, 50.043163
0.996993, 46.006731, 47.671736, 49.672828
0.996828, 45.923036, 47.659205, 49.673222
0.996856, 45.977759, 47.476485, 49.585073
0.997166, 46.303304, 48.093267, 49.816113
0.996823, 45.852650, 47.515398, 49.432920
0.997050, 46.130158, 47.613965, 49.620522
0.997016, 45.933028, 47.450879, 49.474740
0.997298, 46.447678, 48.190959, 50.033025
0.996999, 46.078947, 47.555785, 49.688233
0.996988, 46.041293, 47.675627, 49.768691
0.996893, 45.906149, 47.533408, 49.766786
0.997242, 46.187254, 48.151588, 50.049609
