ms-ssim, psnr-y, psnr-u, psnr-v
0.996223, 39.728149, 46.311016, 47.060633
0.995312, 38.734791, 45.830485, 46.298797
0.995119, 38.816394, 45.850788, 46.318585
0.994785, 38.806026, 45.966727, 46.370519
0.994715, 39.623475, 45.878788, 46.114865
0.993946, 38.946195, 45.330518, 45.558613
0.994867, 40.213179, 45.844593, 45.867759
0.994435, 40.027609, 45.828433, 46.012016
0.995518, 40.896740, 46.090923, 46.105147
0.993988, 39.885635, 45.685713, 46.019904
0.995834, 41.430767, 46.330200, 46.555971
0.996090, 41.282703, 46.482578, 46.656268
0.994972, 40.301005, 46.290189, 46.515252
0.991649, 38.013317, 44.684059, 45.281681
0.986903, 36.015230, 42.586722, 42.963339
0.986591, 35.957080, 43.015863, 43.640730
0.985189, 35.634109, 42.199891, 42.780611
0.985310, 35.606387, 42.457318, 43.091951
0.986833, 35.896800, 42.873322, 43.501951
0.988358, 36.307706, 43.021707, 43.608652
0.989698, 36.946933, 43.464901, 43.917821
0.990047, 36.761436, 43.079056, 43.853213
0.990405, 36.897595, 43.356331, 44.166093
0.989943, 36.919516, 42.990581, 43.825657
0.990235, 37.091918, 43.099147, 44.172521
0.990392, 37.115746, 43.252972, 44.346880
0.990226, 37.153512, 43.377895, 44.210715
0.989559, 36.978846, 42.243453, 43.052743
0.990630, 37.524702, 42.631410, 43.498830
0.990083, 37.238300, 42.858590, 43.806846
0.990653, 37.458532, 42.736470, 43.637687
0.990541, 37.297777, 42.960730, 43.795453
0.988273, 36.527662, 42.688987, 43.725683
0.988587, 36.707010, 42.823294, 43.822363
0.991623, 37.651100, 43.287125, 44.046689
0.992010, 37.372599, 43.765147, 44.566146
0.992225, 37.493647, 43.510270, 44.305998
0.992353, 37.554580, 43.721358, 44.468885
0.993145, 37.927668, 43.509242, 44.275090
0.992979, 37.730268, 44.122681, 44.813895
0.993130, 37.824658, 44.278870, 44.877718
0.993148, 37.823253, 44.305193, 44.960495
0.993011, 37.804504, 44.004448, 44.713093
