ms-ssim, psnr-y, psnr-u, psnr-v
0.996711, 42.614070, 48.253652, 49.291923
0.996337, 42.441876, 48.233070, 49.214452
0.996064, 42.031525, 48.024908, 48.998577
0.995914, 41.883224, 48.046225, 49.084545
0.996096, 42.050362, 47.988618, 49.032454
0.995796, 41.889360, 48.096950, 49.218566
0.995948, 41.985973, 47.953914, 49.094182
0.995804, 41.912244, 48.059982, 49.138338
0.995748, 41.703883, 47.938559, 49.069194
0.995760, 41.823964, 47.931693, 49.206162
0.995317, 41.162857, 48.008072, 49.108489
0.997024, 48.100112, 50.181000, 51.077669
0.990363, 42.992717, 46.397233, 47.308156
0.989830, 42.496593, 45.739624, 46.780458
0.990431, 42.726363, 46.167979, 47.315993
0.992563, 43.507113, 46.716946, 47.586063
0.992498, 43.276515, 46.971378, 47.834254
0.993720, 43.750899, 47.207454, 48.082330
0.994051, 43.902784, 47.350331, 48.464417
0.993157, 43.116042, 47.049804, 48.318648
0.993454, 43.139739, 47.098722, 48.750369
0.993511, 42.884623, 46.967108, 48.540390
0.995101, 43.910588, 47.456185, 48.796133
0.994569, 43.739655, 47.436734, 49.208939
0.995283, 44.399723, 47.583752, 49.217283
0.995022, 44.317238, 48.083318, 49.838576
0.995858, 45.529608, 48.448488, 50.043719
0.996793, 47.368872, 50.085972, 51.592233
0.994710, 45.572472, 48.335134, 50.134407
0.995715, 45.696227, 47.974903, 49.801919
0.994967, 44.289751, 47.586728, 49.376498
0.995832, 45.064404, 48.179195, 49.644289
0.994267, 44.714434, 47.666211, 49.137150
0.995395, 45.471637, 47.972195, 49.479178
0.993837, 43.517770, 46.900970, 48.347045
0.993889, 43.607390, 46.949423, 48.385191
0.995338, 44.951820, 47.656331, 48.844805
0.993844, 43.460127, 46.925107, 48.330434
0.993821, 42.686921, 46.255327, 47.530748
0.993648, 42.406239, 46.349418, 47.656956
0.994891, 43.252518, 46.471681, 47.719568
0.993324, 42.306690, 45.959964, 47.345027
0.993521, 42.131073, 45.781803, 47.180488
0.993116, 42.429366, 46.177586, 47.610039
0.994307, 43.533014, 46.443126, 47.668075
0.993273, 42.014008, 45.788921, 47.046557
0.993818, 42.106058, 45.936143, 46.999134
0.993791, 42.107050, 45.703225, 46.698676
0.993952, 42.348064, 45.596570, 46.582917
0.992614, 41.769250, 45.582154, 46.709207
0.993389, 43.043819, 46.219990, 47.196222
0.992334, 42.878488, 46.093941, 47.226759
0.994006, 43.076608, 45.952584, 47.032189
0.992808, 42.231933, 46.197311, 47.046293
0.993090, 42.378072, 46.395084, 47.283800
0.993739, 42.519193, 46.378608, 46.926564
0.994546, 43.090596, 46.452274, 47.118490
0.993836, 42.515762, 46.600493, 47.277353
0.993913, 43.449570, 46.614908, 47.443149
0.993467, 43.013130, 46.622733, 47.565096
0.994891, 44.070589, 46.703423, 47.709515
0.993339, 42.448394, 46.261880, 47.113909
0.993704, 42.556353, 45.625577, 46.681860
0.994069, 42.972587, 46.273860, 47.238884
0.995120, 44.098490, 46.446719, 47.333701
0.994432, 43.512409, 46.462146, 47.435224
0.994097, 43.243507, 46.223439, 47.048290
0.993558, 43.205497, 46.206838, 47.199141
0.994509, 44.321279, 46.612994, 47.550246
0.993475, 43.773498, 46.284099, 47.182427
0.993375, 43.638863, 46.121945, 46.828513
0.993243, 43.265744, 46.105171, 46.827145
0.994600, 44.538091, 46.658739, 47.189023
0.994549, 44.851408, 47.002171, 47.676606
0.996779, 48.014421, 49.640899, 50.431462
0.994653, 45.649104, 47.246412, 48.274002
0.996113, 46.680500, 47.843436, 48.740315
0.995769, 45.247504, 46.533717, 47.452201
0.995779, 44.360765, 46.013579, 46.892089
0.994255, 42.644906, 45.178780, 46.194232
0.994365, 42.524624, 44.858971, 45.759767
0.994067, 42.340944, 45.111305, 45.973295
0.995032, 43.505768, 45.047837, 45.878822
0.993521, 42.838749, 45.027679, 45.933278
0.993324, 42.747121, 44.998981, 45.796413
0.993764, 42.944936, 44.978172, 45.756438
0.994695, 43.555138, 45.292042, 46.035363
0.993906, 43.345244, 45.182478, 45.989900
0.993640, 43.171390, 45.307030, 45.984044
0.993372, 42.965235, 45.322790, 46.111986
0.993708, 42.807836, 45.087333, 45.823355
0.993047, 42.438133, 45.438959, 46.383787
0.992954, 42.266705, 44.835333, 45.748044
0.991971, 41.859241, 44.558438, 45.541591
0.991272, 41.890780, 44.527842, 45.312572
0.991714, 42.983767, 45.013044, 45.973581
0.993292, 45.291439, 47.321981, 47.983531
0.995818, 46.614423, 49.291529, 49.758735
0.991261, 43.048681, 46.363236, 47.301377
0.994473, 44.086008, 47.684678, 48.368892
0.992997, 42.951417, 46.936060, 47.834817
0.993799, 43.194075, 47.374970, 48.286683
0.994514, 43.765799, 47.678559, 48.353429
0.995161, 43.991175, 47.588358, 48.490979
0.994825, 43.846250, 47.810691, 48.622124
0.994594, 43.743405, 47.255001, 48.251694
0.994312, 43.602848, 47.480735, 48.389050
0.994885, 43.893276, 47.365382, 48.542938
0.994605, 43.708450, 47.312588, 48.445366
0.994422, 43.612516, 47.051759, 48.366106
0.994433, 43.750612, 47.294981, 48.497538
0.994821, 43.898818, 47.308858, 48.447028
0.994470, 43.733159, 47.171804, 48.033931
0.994555, 43.867767, 47.417306, 48.274645
0.994356, 43.715966, 47.145598, 47.940092
0.994707, 43.905067, 47.485249, 48.308386
0.994458, 43.729555, 47.232427, 47.919162
0.994443, 43.662712, 47.514214, 48.331007
0.994364, 43.508049, 47.109883, 47.758839
0.994797, 43.814770, 47.270343, 48.289263
0.994519, 43.487597, 46.855622, 47.709703
0.994563, 43.581829, 47.216974, 48.053718
0.994449, 43.472979, 46.911505, 47.845995
0.994889, 43.882358, 47.265599, 48.366464
0.994391, 43.597522, 46.901680, 47.859308
0.994269, 43.324171, 47.155149, 48.173557
0.993853, 42.967335, 46.800782, 47.557904
0.994806, 43.034506, 46.772385, 47.675604
0.993974, 42.502961, 46.502161, 47.279893
0.994094, 42.580745, 46.784396, 47.669329
0.993916, 42.472213, 46.364001, 47.251982
0.994793, 42.885744, 46.452927, 47.458622
0.994173, 42.493870, 46.574294, 47.579699
0.994412, 42.749340, 46.397195, 47.473389
0.994419, 42.541450, 46.648610, 47.672839
0.994817, 42.740071, 46.233011, 47.141183
0.993866, 42.405722, 46.643829, 47.474297
0.993812, 42.398605, 46.298785, 47.181094
0.994101, 42.502369, 46.486604, 47.389963
0.994358, 42.517806, 46.131700, 47.040863
0.993604, 42.317771, 46.137986, 47.099659
0.993928, 42.944963, 46.561943, 47.510193
0.993570, 42.627456, 46.341396, 47.248566
0.994837, 43.876754, 47.093330, 47.968289
0.994174, 43.478315, 47.119266, 48.006276
0.994253, 43.690078, 47.096167, 47.935440
0.994864, 44.341126, 47.275789, 48.080970
0.994347, 43.985736, 47.074076, 47.925486
0.994912, 44.463010, 47.383134, 48.368833
0.995398, 44.736574, 47.234650, 48.327021
0.994727, 44.223926, 47.175629, 48.299069
0.994648, 44.445108, 47.230021, 48.271684
0.994988, 44.713634, 47.238209, 48.241976
0.995590, 45.202090, 47.442843, 48.412438
0.995278, 44.986528, 47.589123, 48.656709
0.995601, 45.309022, 47.679136, 48.761558
0.995195, 44.967136, 47.671363, 48.690413
0.995086, 44.838410, 47.693378, 48.652647
0.995564, 45.130836, 47.675927, 48.693845
0.994973, 44.583941, 47.549025, 48.355096
0.995020, 44.591110, 47.404163, 48.342490
0.995490, 44.805989, 47.488759, 48.318117
0.995186, 44.558867, 47.390265, 48.237240
0.994941, 44.275806, 47.062417, 47.975176
0.994672, 44.069188, 47.185625, 48.088411
0.994692, 43.863448, 46.738273, 47.632686
0.996831, 46.683741, 49.742777, 50.900297
0.995605, 45.463998, 49.209906, 50.329669
0.995085, 44.941217, 48.895512, 50.288675
0.994825, 44.804811, 48.404340, 49.699201
0.995359, 45.241578, 48.685184, 50.129327
0.994969, 44.989412, 48.502689, 49.878814
0.995206, 45.126724, 48.742311, 50.214281
0.995568, 45.384495, 48.762822, 50.250182
0.995097, 44.971073, 48.870096, 50.202997
0.995004, 44.742887, 48.900505, 50.092245
0.995002, 44.561549, 48.567193, 49.642687
0.995301, 44.750276, 48.799342, 49.875038
0.994779, 44.083368, 48.385911, 49.461267
0.994660, 44.027039, 48.488420, 49.518800
0.995045, 44.419453, 48.896591, 49.910872
0.995186, 44.576615, 48.792356, 49.743488
0.994853, 44.356414, 48.792597, 49.878870
0.994873, 44.473365, 48.699772, 49.701690
0.995081, 44.450111, 49.096983, 49.927631
0.995422, 44.713480, 49.034473, 49.940337
0.995204, 44.615258, 49.282255, 50.086268
0.994843, 44.332402, 48.716910, 49.641192
0.995369, 44.652626, 49.243506, 50.021056
0.995949, 45.402973, 49.181579, 50.172154
0.995578, 44.955278, 48.795825, 49.819736
0.995616, 44.845955, 49.004658, 50.065500
0.995597, 44.606648, 49.198900, 50.030358
0.996075, 45.135099, 49.295939, 50.314527
0.995527, 44.197613, 48.872912, 49.892253
0.995495, 44.123429, 48.833865, 49.943597
0.995867, 44.381877, 49.149835, 50.077613
0.996164, 44.715999, 49.022166, 49.953050
0.995804, 44.052743, 48.906315, 49.879237
0.995570, 43.484098, 49.008648, 49.943197
0.995599, 43.284854, 48.759902, 49.879688
0.996039, 43.690961, 48.864892, 49.894375
0.995809, 43.549337, 48.826182, 49.901765
0.995724, 43.714636, 48.912855, 50.052278
0.995785, 43.885828, 49.019713, 50.231124
0.996039, 44.154411, 49.062414, 50.229504
0.995888, 44.168821, 48.985384, 50.037516
0.995861, 44.041021, 48.811076, 49.938307
0.995578, 43.857513, 48.694167, 49.986559
0.995765, 44.059850, 48.983044, 50.263160
0.995484, 43.866282, 48.851231, 50.043719
0.995733, 44.131133, 49.121043, 50.135185
0.995970, 44.310711, 48.919405, 50.043602
0.995679, 44.145009, 48.863352, 49.973804
0.995714, 44.241259, 48.839609, 49.959622
0.995890, 44.404058, 48.906451, 50.190470
0.995499, 43.743202, 48.682337, 49.815900
0.995374, 43.516011, 48.675259, 49.992747
0.995643, 43.775316, 48.791478, 49.938764
0.995843, 43.942971, 48.858736, 50.089729
0.995775, 44.015646, 48.852032, 50.056299
0.995779, 44.129801, 48.902081, 50.002598
0.996059, 44.381624, 48.900438, 50.102770
0.995925, 44.420941, 48.887450, 50.153195
0.995969, 44.480285, 49.050400, 50.363105
0.995911, 44.480362, 49.019528, 50.277567
0.996223, 44.789125, 49.216121, 50.472508
0.996049, 44.562166, 49.070363, 50.139433
0.996001, 44.505100, 49.237033, 50.300588
