ms-ssim, psnr-y, psnr-u, psnr-v
0.995770, 41.634807, 48.503613, 48.609079
0.994440, 40.923795, 48.377124, 48.153236
0.994371, 40.840625, 48.412277, 48.262484
0.993844, 40.435347, 48.201880, 48.071383
0.994639, 40.660865, 47.923473, 47.970886
0.993880, 40.409728, 48.128486, 47.923958
0.994130, 40.561581, 48.364574, 48.327416
0.994108, 40.553634, 48.496676, 48.537843
0.994541, 40.615868, 48.581263, 48.666656
0.993997, 40.513034, 48.331915, 48.414893
0.994032, 40.583375, 48.210722, 48.377862
0.994049, 40.597704, 48.170246, 48.524799
0.994000, 40.507444, 48.711800, 48.581619
0.992611, 39.926223, 48.113816, 48.152611
0.991072, 39.223854, 47.917690, 47.715866
0.987617, 38.134029, 47.192803, 46.744159
0.991615, 40.454171, 47.241418, 46.184528
0.995766, 42.424856, 48.412338, 47.431981
0.995914, 42.528003, 48.431789, 47.825091
0.996073, 42.585735, 48.511898, 47.820754
0.996154, 42.656753, 48.673742, 47.993674
0.996065, 42.538270, 48.337506, 47.699536
0.996070, 42.966882, 48.594226, 48.212315
0.996113, 42.031437, 46.592351, 45.348032
0.992664, 38.994822, 47.567712, 45.973180
0.992217, 39.743402, 47.052303, 46.719192
0.991105, 39.212829, 46.959918, 46.556312
0.992064, 39.673619, 47.238685, 47.006040
0.992397, 39.725357, 47.167166, 46.849387
0.993296, 40.190868, 47.643743, 47.364782
0.992704, 40.000708, 47.180791, 46.525152
0.992912, 40.063968, 47.373893, 46.606779
0.992968, 40.163683, 47.445112, 46.262370
0.993732, 40.553472, 47.958803, 46.940858
0.993600, 40.579066, 48.334680, 47.375207
0.993788, 40.688447, 48.317999, 47.505979
0.993777, 40.682462, 48.247568, 47.375429
0.994040, 40.633134, 47.889052, 47.027391
0.993508, 40.319069, 47.935746, 46.608518
0.993150, 40.237347, 48.285784, 47.159050
0.992941, 40.091868, 48.413182, 47.126530
0.992814, 40.023002, 48.373196, 47.450830
0.992683, 40.071976, 48.415939, 47.182245
0.992682, 40.095906, 48.593219, 47.577575
0.992732, 39.996017, 48.544161, 47.457783
0.993421, 40.217256, 48.492393, 47.785602
0.992864, 40.106079, 48.189653, 47.259780
0.992615, 39.977558, 48.282972, 47.281071
0.992748, 40.087544, 48.320499, 47.319682
0.993181, 40.178997, 48.461792, 47.453426
0.992873, 40.215546, 48.550032, 47.502080
0.993161, 40.344147, 48.436155, 47.285320
0.993082, 40.363317, 48.528805, 47.306721
0.993460, 40.363681, 48.455572, 47.417770
0.993099, 40.245817, 48.364832, 47.185474
0.993354, 40.448281, 48.457583, 47.420618
0.993242, 40.396137, 48.301068, 47.151597
0.993854, 40.615638, 48.333356, 47.449783
0.993494, 40.653683, 48.680604, 47.635645
0.993519, 40.594723, 48.820986, 47.880484
0.993291, 40.451231, 48.726564, 47.669854
0.994236, 40.759563, 48.843050, 47.975394
0.993859, 40.613304, 48.766705, 47.801962
0.993959, 40.742483, 48.761972, 47.708933
0.994174, 40.830217, 48.714408, 47.784192
0.994508, 40.926618, 48.644641, 47.875469
0.994237, 40.899794, 48.765417, 47.761626
0.994258, 40.897486, 48.781022, 47.960941
0.994448, 40.992944, 48.548704, 47.697488
0.994633, 41.089314, 48.599745, 47.665567
0.994448, 41.080338, 48.762125, 47.502977
0.994475, 41.064801, 48.642392, 47.572035
0.994471, 41.108367, 48.951529, 47.782330
0.994521, 41.051883, 49.045697, 47.925989
0.994558, 41.268489, 49.030320, 47.951671
0.994349, 41.190534, 48.959278, 47.800652
0.994303, 41.140425, 49.061526, 47.972522
0.994599, 41.171370, 49.194876, 48.348887
0.994275, 41.169390, 49.076124, 48.241492
0.994381, 41.358110, 49.398400, 48.512269
0.994326, 41.264974, 48.912156, 48.053441
0.994592, 41.190748, 48.621892, 47.888481
0.994288, 41.212127, 48.728532, 47.889890
0.994372, 41.323936, 49.045860, 48.166842
0.994393, 41.312720, 48.913961, 48.208207
0.994776, 41.305135, 48.823020, 48.222719
0.994356, 41.222672, 48.842917, 48.233340
0.994597, 41.410683, 49.017840, 48.463298
0.994520, 41.059463, 48.723646, 48.333238
0.994870, 41.147560, 48.920196, 48.530396
0.994320, 40.724083, 48.848473, 48.093080
0.994374, 40.752813, 48.679812, 48.106874
0.994139, 40.650097, 48.381176, 47.788284
0.994730, 40.840666, 48.763084, 48.165626
0.994153, 40.536345, 48.404882, 47.847054
0.994236, 40.540014, 48.194777, 47.829485
0.994245, 40.509765, 48.058276, 47.689188
0.994630, 40.621989, 48.251249, 48.006936
0.994259, 40.476435, 48.262173, 47.757888
0.993834, 40.306670, 47.969033, 47.535939
