ms-ssim, psnr-y, psnr-u, psnr-v
0.996970, 42.843172, 52.384162, 51.839912
0.996803, 42.773328, 52.386522, 51.653774
0.996768, 42.700906, 52.206935, 51.456071
0.996794, 42.700304, 52.300056, 51.484906
0.996759, 42.630630, 52.160921, 51.508063
0.996761, 42.680065, 52.119072, 51.394612
0.996480, 42.458432, 52.164499, 51.398090
0.996489, 42.477406, 52.206067, 51.469143
0.996405, 42.419366, 52.009038, 51.293448
0.996213, 42.295724, 52.075191, 51.300286
0.996153, 42.152478, 51.606393, 50.900725
0.996225, 42.263109, 51.872581, 51.213789
0.996529, 42.401958, 51.818665, 51.475694
0.995972, 42.194780, 51.453559, 50.755682
0.995518, 41.925117, 50.807634, 50.508011
0.995407, 41.630284, 51.012402, 50.610920
0.995873, 41.697481, 50.946262, 50.786111
0.996150, 41.935675, 51.931785, 51.324600
0.996545, 42.234862, 52.025366, 51.374794
0.996762, 42.389604, 52.132977, 51.614625
0.997031, 42.651619, 52.140421, 51.788936
0.997322, 42.965697, 52.555074, 52.236525
0.997395, 43.047702, 52.573857, 52.314011
0.997474, 43.117102, 52.704256, 52.425769
0.997555, 43.204201, 52.728965, 52.461592
0.997742, 43.443429, 52.893203, 52.730052
0.997745, 43.473121, 52.837913, 52.667777
0.997841, 43.547332, 52.986410, 52.778148
0.997916, 43.653073, 53.007912, 52.882044
0.998002, 43.737933, 53.042819, 52.789980
0.997962, 43.713430, 53.142017, 52.832623
0.997998, 43.689323, 53.268135, 52.936307
0.997978, 43.684100, 53.215241, 52.885535
0.998086, 43.838227, 53.204497, 52.881988
0.998058, 43.856254, 53.234856, 52.912377
0.998089, 43.869556, 53.266843, 52.919241
0.998070, 43.836768, 53.376841, 53.089683
0.998143, 43.945153, 53.384986, 52.988659
0.998081, 43.951164, 53.356011, 53.055220
0.998110, 43.928570, 53.473413, 53.031909
0.998086, 43.904742, 53.500848, 53.163765
0.998110, 44.031619, 53.417403, 53.060671
0.998051, 43.996951, 53.356074, 53.067833
0.998104, 44.037950, 53.465294, 53.111111
0.998137, 44.035666, 53.517627, 53.165807
0.998123, 44.159329, 53.370664, 52.911470
0.998116, 44.166031, 53.392324, 52.958707
0.998148, 44.196246, 53.378860, 52.989351
0.998227, 44.190066, 53.568752, 53.248431
0.998173, 44.340998, 53.633449, 53.099200
0.998216, 44.362237, 53.596930, 53.122281
0.998209, 44.319116, 53.714439, 53.189669
0.998322, 44.331575, 54.013671, 53.530286
0.998331, 44.496626, 53.798010, 53.286693
0.998299, 44.488450, 53.729122, 53.217916
0.998294, 44.431586, 53.914450, 53.314213
0.998306, 44.345129, 54.072948, 53.542000
0.998218, 44.391697, 54.003457, 53.330222
0.998173, 44.354000, 53.878120, 53.328538
0.998206, 44.316611, 53.890173, 53.384860
0.998273, 44.244865, 53.949935, 53.492677
0.998194, 44.294508, 53.868007, 53.311664
0.998179, 44.296829, 53.885986, 53.262171
0.998215, 44.331909, 53.848766, 53.212872
0.998366, 44.365672, 54.254558, 53.684881
0.998243, 44.386168, 53.809284, 53.114019
0.998298, 44.395510, 53.917521, 53.374949
0.998270, 44.442163, 54.042767, 53.534340
0.998382, 44.463124, 54.314655, 53.865112
0.998241, 44.334808, 53.692200, 53.331346
0.998262, 44.232214, 53.682646, 53.258241
0.998232, 44.136292, 53.528522, 53.077125
0.998365, 44.200319, 53.962261, 53.557755
0.998219, 44.094729, 53.756230, 53.281629
0.998265, 44.124354, 53.773889, 53.231865
0.998293, 44.158446, 53.673316, 53.118534
0.998367, 44.153147, 53.740631, 53.276695
0.998388, 44.286104, 53.564007, 52.959681
0.998359, 44.275804, 53.452052, 52.944179
0.998314, 44.308696, 53.680955, 53.078244
0.998406, 44.287798, 53.970137, 53.473220
0.998388, 44.411221, 54.007832, 53.436675
0.998365, 44.405019, 53.974912, 53.446792
0.998336, 44.400763, 53.973537, 53.358460
0.998386, 44.382044, 54.194975, 53.594077
0.998353, 44.461125, 54.061117, 53.452758
0.998323, 44.399194, 54.084367, 53.413838
0.998382, 44.396702, 54.142516, 53.475413
0.998408, 44.385737, 54.233223, 53.652698
0.998409, 44.444074, 54.094624, 53.581429
0.998350, 44.395687, 54.003530, 53.484069
0.998329, 44.334318, 53.892019, 53.459632
0.998274, 44.201332, 54.009729, 53.532640
0.998109, 44.096939, 53.865253, 53.332157
0.998069, 44.313096, 53.919451, 53.312410
0.998073, 44.341957, 53.821077, 53.178023
0.998236, 44.428963, 54.118130, 53.521799
0.998255, 44.483710, 54.172036, 53.550921
0.998207, 44.483049, 53.931977, 53.414665
0.998212, 44.484986, 54.004259, 53.458346
0.998323, 44.513298, 54.106249, 53.600847
0.998334, 44.552904, 53.873450, 53.267520
0.998269, 44.519959, 53.818423, 53.250820
0.998254, 44.428154, 53.866383, 53.394350
0.998327, 44.441669, 53.981360, 53.344099
0.998273, 44.349345, 53.853129, 53.318381
0.998313, 44.434148, 53.908457, 53.406655
0.998284, 44.428766, 53.777415, 53.367452
0.998344, 44.530972, 53.901262, 53.364495
0.998254, 44.551802, 53.658752, 53.316576
0.998245, 44.482180, 53.807473, 53.363363
0.998223, 44.434488, 53.650816, 53.311851
0.998383, 44.494492, 54.062963, 53.757538
0.998274, 44.400436, 53.818283, 53.420078
0.998288, 44.385836, 53.748458, 53.543048
0.998256, 44.352653, 53.858059, 53.590763
0.998462, 44.522564, 54.044312, 53.834654
0.998326, 44.359371, 53.981143, 53.789261
0.998344, 44.378233, 53.881874, 53.693354
0.998328, 44.388949, 53.818632, 53.567433
0.998361, 44.409008, 53.823244, 53.618484
0.998269, 44.317263, 53.647458, 53.369719
0.998243, 44.332952, 53.575416, 53.348233
0.998223, 44.350529, 53.401450, 53.164125
0.998321, 44.393692, 53.710282, 53.617284
0.998161, 44.368754, 53.488403, 53.233635
0.998245, 44.443255, 53.559465, 53.269858
0.998268, 44.456023, 53.553679, 53.266474
0.998265, 44.445736, 53.777000, 53.452501
0.998143, 44.437910, 53.548689, 53.213236
0.998191, 44.498425, 53.658281, 53.198983
0.998171, 44.508011, 53.688200, 53.208622
0.998324, 44.532727, 53.838862, 53.438850
