,creator,duration,id,labels,ladder,title,views
0,,210.0,eguZ69v_vlQ,"[26, 466]","[{'160 - 192x144 (DASH video)': 108.0}, {'133 - 320x240 (DASH video)': 242.0}, {'134 - 480x360 (DASH video)': 584.538}, {'135 - 640x480 (DASH video)': 1155.0}, {'18 - 480x360 (medium)': 599.116}]",Muerte por amor cap  1 part  2 LPS,1064.0
1,Basshunter,216.0,ER9Hdp04tWs,"[12, 237]","[{'160 - 192x144 (144p)': 119.682}, {'133 - 320x240 (240p)': 278.802}, {'18 - 320x240 (small)': 279.805}]",Best Football Stadiums 2008,19212.0
2,,177.0,ETF2-Zz3J18,[375],"[{'160 - 256x144 (144p)': 60.206}, {'133 - 426x240 (240p)': 102.823}, {'134 - 640x360 (360p)': 228.935}, {'135 - 854x480 (480p)': 483.885}, {'136 - 1280x720 (720p)': 992.778}, {'18 - 640x360 (medium)': 366.193}, {'22 - 1280x720 (hd720)': 594.447}]",Law of Reflection Practical Activity for Students,176171.0
3,,301.0,jtvbLq9bYRc,[2607],"[{'160 - 236x144 (144p)': 37.789}, {'133 - 394x240 (240p)': 72.216}, {'134 - 590x360 (360p)': 171.589}, {'135 - 788x480 (480p)': 323.886}, {'18 - 590x360 (medium)': 141.892}]","10.2 (1 of 4) Arcs in a Circle, Basics",2408.0
4,,207.0,6BPXQMxdHog,"[2, 7, 1000]","[{'160 - 256x144 (144p)': 112.108}, {'133 - 426x240 (240p)': 246.126}, {'134 - 640x360 (360p)': 264.343}, {'135 - 854x480 (480p)': 591.402}, {'136 - 1280x720 (720p)': 1106.475}, {'298 - 1280x720 (720p60)': 2629.926}, {'18 - 640x360 (medium)': 438.856}, {'22 - 1280x720 (hd720)': 1133.472}]",Tutorials with Twan - How to install the Brake on a 2012 MADDGEAR,14792.0
5,,145.0,-j989rqetQE,"[4, 9, 10, 37, 1523]","[{'160 - 256x144 (144p)': 114.595}, {'133 - 426x240 (240p)': 252.184}, {'134 - 640x360 (360p)': 415.08}, {'135 - 854x480 (480p)': 907.909}, {'136 - 1280x720 (720p)': 2041.606}, {'137 - 1920x1080 (1080p)': 4144.735}, {'264 - 1920x1080 (1080p)': 6902.853}, {'18 - 640x360 (medium)': 466.762}]",Blues Guitar Epiphone Riviera!!!  (slide playing on open G),2531.0
6,,281.0,F-4h2WwVr3g,"[0, 5, 16]","[{'160 - 216x144 (144p)': 116.82}, {'133 - 360x240 (240p)': 265.47}, {'134 - 540x360 (360p)': 555.724}, {'135 - 720x480 (480p)': 1114.894}, {'18 - 540x360 (medium)': 409.317}]",Retrospectiva Branca de Neve Making Off,10395.0
7,Flexy,491.0,UZt7rP0poxs,"[0, 12, 91]","[{'160 - 192x144 (DASH video)': 108.0}, {'133 - 320x240 (DASH video)': 242.0}, {'134 - 480x360 (DASH video)': 522.599}, {'135 - 640x480 (DASH video)': 1155.0}, {'18 - 480x360 (medium)': 668.601}]",أكاديمية الفتى العربي : عبد الله كوليبالي,9596.0
8,Flexy,491.0,UZt7rP0poxs,"[0, 1, 69, 236, 589]","[{'160 - 192x144 (DASH video)': 108.0}, {'133 - 320x240 (DASH video)': 242.0}, {'134 - 480x360 (DASH video)': 522.599}, {'135 - 640x480 (DASH video)': 1155.0}, {'18 - 480x360 (medium)': 668.601}]",أكاديمية الفتى العربي : عبد الله كوليبالي,9596.0
9,,480.0,kKZBuy8kaj8,"[5, 16]","[{'160 - 192x144 (144p)': 114.622}, {'133 - 192x144 (144p)': 249.303}, {'18 - 192x144 (tiny)': 330.858}]",Dino Rey capitulo 47 parte 2/3,25595.0
10,,251.0,kLVJJvEQN44,[282],"[{'160 - 192x144 (144p)': 85.984}, {'133 - 320x240 (240p)': 223.627}, {'134 - 480x360 (360p)': 242.765}, {'135 - 640x480 (480p)': 517.564}, {'136 - 960x720 (720p)': 1087.121}, {'18 - 480x360 (medium)': 278.189}, {'22 - 960x720 (hd720)': 473.656}]",Incongruenza fatale in Harry Potter 7,3179.0
11,,201.0,GLqhiVWGm8Q,[3],"[{'160 - 192x144 (144p)': 115.283}, {'133 - 320x240 (240p)': 248.752}, {'134 - 480x360 (360p)': 618.728}, {'135 - 640x480 (480p)': 1125.986}, {'18 - 480x360 (medium)': 738.188}]",20110522 超級紅人榜 江惠儀 - 練舞功,9405.0
12,Cross Canadian Ragweed,276.0,-QUa6WgjDqc,"[0, 1, 28, 512, 779]","[{'160 - 198x144 (DASH video)': 108.0}, {'133 - 328x240 (DASH video)': 242.0}, {'134 - 492x360 (DASH video)': 614.189}, {'135 - 658x480 (DASH video)': 1155.0}, {'18 - 492x360 (medium)': 700.619}]",Cry Lonely by Cross Canadian Ragweed - Rockband 2 DLC Week 12/29 Bass/Drums SR,3523.0
13,Drowning Pool,223.0,-QM5ooctj0w,"[141, 247, 255]","[{'160 - 192x144 (DASH video)': 108.0}, {'133 - 320x240 (DASH video)': 242.0}, {'134 - 480x360 (DASH video)': 270.27}, {'135 - 640x480 (DASH video)': 1155.0}, {'18 - 480x360 (medium)': 296.976}]",Kings Island Newest Ride,5087.0
14,,139.0,wh6bhC_fXNU,[97],"[{'160 - 192x144 (DASH video)': 108.0}, {'133 - 320x240 (DASH video)': 242.0}, {'134 - 480x360 (DASH video)': 348.272}, {'135 - 640x480 (DASH video)': 1155.0}, {'18 - 480x360 (medium)': 238.929}]",Schubert  Adagio and Rondo  2 /2,1139.0
15,,485.0,wo-Rbbuy8rk,"[2, 7, 83, 208, 262, 1134]","[{'160 - 256x144 (144p)': 109.656}, {'133 - 426x240 (240p)': 248.629}, {'134 - 640x360 (360p)': 606.433}, {'135 - 854x480 (480p)': 1108.048}, {'136 - 1280x720 (720p)': 2222.436}, {'137 - 1920x1080 (1080p)': 4156.889}, {'18 - 640x360 (medium)': 689.034}, {'22 - 1280x720 (hd720)': 3.898}]",CAT D6K LGP at Zielger,7936.0
16,,232.0,mZprGYcQ-HI,"[6, 8]","[{'160 - 192x144 (144p)': 116.093}, {'133 - 320x240 (240p)': 248.295}, {'134 - 480x360 (360p)': 608.813}, {'135 - 640x480 (480p)': 1108.603}, {'18 - 480x360 (medium)': 721.773}]",Showboat dancing scene with Marge and Gower Champion,94783.0
17,,257.0,mLJZtxZLpaw,"[1, 21, 23, 24, 471]","[{'160 - 256x144 (144p)': 133.398}, {'133 - 426x240 (240p)': 253.393}, {'134 - 640x360 (360p)': 608.14}, {'135 - 854x480 (480p)': 1113.478}, {'136 - 1280x720 (720p)': 2211.844}, {'18 - 640x360 (medium)': 613.331}, {'22 - 1280x720 (hd720)': 3.262}]","Sony Xperia ZL - 4-ядерный смартфон с 5"" экраном - видео обзор",17271.0
18,The Offspring,178.0,mLEJIW9HeIw,"[4, 9, 10, 37]","[{'160 - 192x144 (144p)': 113.59}, {'133 - 320x240 (240p)': 246.283}, {'18 - 320x240 (small)': 361.625}]",The Offspring - Hit That (guitar cover),1794.0
19,,242.0,mNoK__PEy9w,"[92, 2602]","[{'160 - 256x144 (DASH video)': 108.0}, {'133 - 426x240 (DASH video)': 242.0}, {'134 - 640x360 (DASH video)': 605.439}, {'135 - 854x480 (DASH video)': 1155.0}, {'136 - 1280x720 (DASH video)': 2310.0}, {'18 - 640x360 (medium)': 500.657}, {'22 - 1280x720 (hd720)': 2290.915}]",el dorado reyes heading to mexico for fight night EsNews Boxing,1507.0
20,,294.0,mOt1npXz9b4,"[0, 1, 5]","[{'160 - 256x144 (144p)': 116.552}, {'133 - 426x240 (240p)': 252.814}, {'134 - 640x360 (360p)': 605.594}, {'18 - 480x270 (small)': 537.898}]","クロスエッジ Cross Edge - Boss 11  ""Raizen ~ Prepare"" (J Part 01/02)",2089.0
21,,119.0,mPjpeaaezFA,"[14, 1921]","[{'160 - 256x144 (144p)': 112.954}, {'133 - 426x240 (240p)': 247.127}, {'134 - 640x360 (360p)': 607.29}, {'135 - 854x480 (480p)': 1113.444}, {'18 - 640x360 (medium)': 738.402}]",Las Maris - Nera,4207.0
22,FIELD OF VIEW,256.0,J_nOJvH-LLU,"[5, 16, 144, 190]","[{'160 - 216x144 (DASH video)': 108.0}, {'133 - 360x240 (DASH video)': 242.0}, {'134 - 540x360 (DASH video)': 604.509}, {'135 - 720x480 (DASH video)': 1155.0}, {'18 - 540x360 (medium)': 644.914}]",Dragon Ball Z,1736.0
23,FIELD OF VIEW,256.0,J_nOJvH-LLU,[3],"[{'160 - 216x144 (DASH video)': 108.0}, {'133 - 360x240 (DASH video)': 242.0}, {'134 - 540x360 (DASH video)': 604.509}, {'135 - 720x480 (DASH video)': 1155.0}, {'18 - 540x360 (medium)': 644.914}]",Dragon Ball Z,1736.0
24,,312.0,87EHMH_y2fw,"[15, 60, 239, 363, 686, 1880, 2625]","[{'160 - 256x118 (144p)': 121.487}, {'133 - 426x196 (240p)': 248.209}, {'18 - 522x240 (small)': 638.015}]",Dan's 2007 Archery Bull Elk,1562.0
25,Brand X Music,196.0,88gP66Rf7_0,"[5, 16, 84]","[{'160 - 256x144 (144p)': 110.503}, {'133 - 426x240 (240p)': 250.1}, {'134 - 640x360 (360p)': 613.261}, {'135 - 854x480 (480p)': 1124.35}, {'136 - 1280x720 (720p)': 2212.189}, {'18 - 640x360 (medium)': 671.522}, {'22 - 1280x720 (hd720)': 3.725}]",Naruto Shippuden AMV Konan vs Madara,2303.0
26,,275.0,8BbgedgJ5qo,"[0, 1, 25, 35]","[{'160 - 256x144 (DASH video)': 108.0}, {'133 - 426x240 (DASH video)': 242.0}, {'134 - 640x360 (DASH video)': 611.152}, {'135 - 854x480 (DASH video)': 1155.0}, {'18 - 640x360 (medium)': 551.48}]",The Last Story Trailer - Director's Cut,2636.0
27,,147.0,jarWs1a-drU,[8],"[{'160 - 256x144 (144p)': 121.129}, {'133 - 426x240 (240p)': 259.802}, {'134 - 640x360 (360p)': 410.134}, {'135 - 854x480 (480p)': 791.269}, {'136 - 1280x720 (720p)': 1405.16}, {'137 - 1920x1080 (1080p)': 3042.019}, {'18 - 640x360 (medium)': 551.781}, {'22 - 1280x720 (hd720)': 1209.097}]",Robin vs Karton | 1/8 | SMART SESSION 2012,2406.0
28,,392.0,jeECmqYWKyI,[3],"[{'160 - 192x144 (144p)': 111.417}, {'133 - 320x240 (240p)': 247.81}, {'18 - 320x240 (small)': 380.044}]",Joan sebastian con banda cruz de la candelaria,2890.0
29,,257.0,GR9HH9nrqow,"[468, 635, 700]","[{'160 - 192x144 (DASH video)': 108.0}, {'133 - 320x240 (DASH video)': 242.0}, {'134 - 480x360 (DASH video)': 507.268}, {'135 - 640x480 (DASH video)': 1155.0}, {'18 - 480x360 (medium)': 394.13}]",A New Planet Earth Discovered (Gliese 581 D) HD Quility - Diknek Lorrie's,3768.0
30,,120.0,GS4tuyum1FU,"[0, 1, 124, 153, 317]","[{'160 - 230x144 (144p)': 112.62}, {'133 - 384x240 (240p)': 251.179}, {'134 - 576x360 (360p)': 616.55}, {'135 - 768x480 (480p)': 1125.195}, {'136 - 1152x720 (720p)': 2238.343}, {'298 - 1152x720 (720p60)': 3378.174}, {'137 - 1728x1080 (1080p)': 4258.714}, {'299 - 1728x1080 (1080p60)': 5551.1}, {'18 - 576x360 (medium)': 614.917}, {'22 - 1152x720 (hd720)': 5.354}]",End of Round Screen Glitch Looks Awesome,1707.0
31,,158.0,GSxqFfrybls,"[0, 1, 5]","[{'160 - 192x144 (DASH video)': 108.0}, {'133 - 320x240 (DASH video)': 242.0}, {'134 - 480x360 (DASH video)': 408.257}, {'135 - 640x480 (DASH video)': 1155.0}, {'18 - 480x360 (medium)': 471.615}]",Ourworld: Baby Vuvu,2212.0
32,,220.0,bk0XgYgjMGU,[1653],"[{'160 - 256x144 (144p)': 115.047}, {'133 - 426x240 (240p)': 253.9}, {'134 - 640x360 (360p)': 488.524}, {'18 - 640x360 (medium)': 603.928}]",Astronomy Now's guide to solar observing 4 - Aligning your telescope.m4v,7088.0
33,,168.0,brUU69nag3s,"[182, 901]","[{'160 - 256x144 (144p)': 111.782}, {'133 - 426x240 (240p)': 247.811}, {'134 - 640x360 (360p)': 611.315}, {'135 - 854x480 (480p)': 1119.57}, {'136 - 1280x720 (720p)': 2229.776}, {'18 - 640x360 (medium)': 727.151}, {'22 - 1280x720 (hd720)': 2179.939}]",Chris O'Shea with Aerial Wakeboarding,17352.0
34,,154.0,WVn8ckzvdOk,"[31, 40, 47, 57]","[{'160 - 256x144 (144p)': 112.38}, {'133 - 426x240 (240p)': 245.717}, {'134 - 640x360 (360p)': 314.265}, {'135 - 854x480 (480p)': 649.971}, {'136 - 1280x720 (720p)': 1292.294}, {'137 - 1920x1080 (1080p)': 2696.197}, {'18 - 640x360 (medium)': 359.904}]",Shot at the Night by The Killers-Piano Cover,11190.0
35,,153.0,WZLH8Xf1vck,"[0, 1, 5, 69, 84, 169, 476, 2081]","[{'160 - 192x144 (144p)': 117.65}, {'133 - 320x240 (240p)': 252.273}, {'134 - 480x360 (360p)': 605.694}, {'135 - 640x480 (480p)': 1106.305}, {'18 - 480x360 (medium)': 621.657}]",Naruto Ultimate Ninja 4 CS2 Sasuke(me) Vs Orochimaru,29648.0
36,,198.0,WaRYNK5Jypc,"[2, 17, 75, 95, 135, 172, 267, 490]","[{'160 - 192x144 (144p)': 111.125}, {'133 - 320x240 (240p)': 254.189}, {'18 - 320x240 (small)': 409.534}]",Stuck Chevy,5914.0
37,,383.0,WborWpqHw8E,"[4, 13, 164]","[{'160 - 256x144 (DASH video)': 108.0}, {'133 - 426x240 (DASH video)': 242.0}, {'134 - 640x360 (DASH video)': 606.074}, {'135 - 854x480 (DASH video)': 1155.0}, {'136 - 1280x720 (DASH video)': 2310.0}, {'137 - 1920x1080 (DASH video)': 4331.25}, {'18 - 640x360 (medium)': 738.194}, {'22 - 1280x720 (hd720)': 3193.82}]",Baker Marching Band Halftime Show 2013 against B.C. Rain,1544.0
38,,441.0,WdE7hGk6Y4I,"[217, 412]","[{'160 - 256x144 (144p)': 119.994}, {'133 - 426x240 (240p)': 256.476}, {'134 - 640x360 (360p)': 542.192}, {'18 - 640x360 (medium)': 496.164}]",Présentation de mon deck force arcane,1118.0
39,,224.0,SCiy24-_ApY,"[0, 1, 189, 741]","[{'160 - 192x144 (144p)': 114.214}, {'133 - 320x240 (240p)': 250.673}, {'134 - 480x360 (360p)': 606.475}, {'135 - 640x480 (480p)': 1109.003}, {'18 - 480x360 (medium)': 656.163}]",Star Wars Palpatine's Apprentice: Season 2: Battle on the Bushido Starship 2/3,3447.0
